"","City Name","Type","Package","Variety","Sub Variety","Grade","Date","Low Price","High Price","Mostly Low","Mostly High","Origin","Origin District","Item Size","Color","Environment","Unit of Sale","Quality","Condition","Appearance","Storage","Crop","Repack","Trans Mode","...25","...26"
"1","BALTIMORE",NA,"24 inch bins",NA,NA,NA,"4/29/17",270,280,270,280,"MARYLAND",NA,"lge",NA,NA,NA,NA,NA,NA,NA,NA,"E",NA,NA,NA
"2","BALTIMORE",NA,"24 inch bins",NA,NA,NA,"5/6/17",270,280,270,280,"MARYLAND",NA,"lge",NA,NA,NA,NA,NA,NA,NA,NA,"E",NA,NA,NA
"3","BALTIMORE",NA,"24 inch bins","HOWDEN TYPE",NA,NA,"9/24/16",160,160,160,160,"DELAWARE",NA,"med","ORANGE",NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA
"4","BALTIMORE",NA,"24 inch bins","HOWDEN TYPE",NA,NA,"9/24/16",160,160,160,160,"VIRGINIA",NA,"med","ORANGE",NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA
"5","BALTIMORE",NA,"24 inch bins","HOWDEN TYPE",NA,NA,"11/5/16",90,100,90,100,"MARYLAND",NA,"lge","ORANGE",NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA
"6","BALTIMORE",NA,"24 inch bins","HOWDEN TYPE",NA,NA,"11/12/16",90,100,90,100,"MARYLAND",NA,"lge","ORANGE",NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA
"7","BALTIMORE",NA,"36 inch bins","HOWDEN TYPE",NA,NA,"9/24/16",160,170,160,170,"MARYLAND",NA,"med","ORANGE",NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA
"8","BALTIMORE",NA,"36 inch bins","HOWDEN TYPE",NA,NA,"9/24/16",160,160,160,160,"PENNSYLVANIA",NA,"lge","ORANGE",NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA
"9","BALTIMORE",NA,"36 inch bins","HOWDEN TYPE",NA,NA,"10/1/16",160,170,160,170,"MARYLAND",NA,"med","ORANGE",NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA
"10","BALTIMORE",NA,"36 inch bins","HOWDEN TYPE",NA,NA,"10/1/16",160,160,160,160,"PENNSYLVANIA",NA,"lge","ORANGE",NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA
"11","BALTIMORE",NA,"36 inch bins","HOWDEN TYPE",NA,NA,"10/8/16",160,170,160,170,"MARYLAND",NA,"med","ORANGE",NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA
"12","BALTIMORE",NA,"36 inch bins","HOWDEN TYPE",NA,NA,"10/8/16",160,160,160,160,"PENNSYLVANIA",NA,"lge","ORANGE",NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA
"13","BALTIMORE",NA,"36 inch bins","HOWDEN TYPE",NA,NA,"10/15/16",150,160,150,160,"MARYLAND",NA,"lge","ORANGE",NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA
"14","BALTIMORE",NA,"36 inch bins","HOWDEN TYPE",NA,NA,"10/15/16",150,170,150,170,"MARYLAND",NA,"med","ORANGE",NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA
"15","BALTIMORE",NA,"36 inch bins","HOWDEN TYPE",NA,NA,"10/22/16",150,160,150,160,"MARYLAND",NA,"lge","ORANGE",NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA
"16","BALTIMORE",NA,"36 inch bins","HOWDEN TYPE",NA,NA,"10/22/16",140,160,140,160,"MARYLAND",NA,"med","ORANGE",NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA
"17","BALTIMORE",NA,"36 inch bins","HOWDEN TYPE",NA,NA,"10/29/16",100,160,100,160,"MARYLAND",NA,"lge","ORANGE",NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA
"18","BALTIMORE",NA,"36 inch bins","HOWDEN TYPE",NA,NA,"10/29/16",130,160,130,160,"MARYLAND",NA,"med","ORANGE",NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA
